2025-05-31,New spotify playlist: My history of British music!,
2025-05-26,Added the books section!,TRUE
2025-05-21,New content: finished the smash characters page!,
2025-05-20,New content: smash characters,
2025-05-18,New content: smash characters,
2025-05-16,New content: games,
2025-05-14,New content: gallery & albums & cds,
2025-05-10,Added rankings of every Mario Kart track ever,TRUE
2025-05-08,Refactored a whole bunch of stuff and can click away from pop-ups now
2025-05-04,Added Fab's game of life to the community page,TRUE
2025-04-28,Added Fraser's opinions to Durstloescher page, new smash characters
2025-04-25,New content: games,
2025-04-21,Added this changelog page!,TRUE
2025-04-18,New content: games,
2025-04-17,New content: games,
2025-04-16,New content: games,
2025-04-15,New content: games,
2025-04-14,Added my CD collection!,TRUE
2025-04-12,New content: games,
2025-04-08,Made a list of every game I've ever played and added release year to games section,
2025-04-04,New content: characters,
2025-04-01,Added tags for albums,
2025-03-31,Better image loading and new colour scheme,
2025-03-30,Added a party page!,TRUE
2025-03-30,Added search function,
2025-03-30,Mp3 downloads working!,TRUE
2025-03-30,New content: gallery images,
2025-03-25,New content: albums and soundtracks,
2025-03-24,Refactored the films section,
2025-03-23,Refactored the games section,
2025-03-22,Added Anni's Durstlöscher reviews,TRUE
2025-03-22,Added back ups to the database,
2025-03-22,Added sorting to music section,
2025-03-22,Fixed display issues on mobile,
2025-03-22,Finished all the albums content!,TRUE
2025-03-19,New content: characters and albums,
2025-03-18,Added smash characters page!,TRUE
2025-03-17,New content: albums,
2025-03-16,Went live with the guestbook!,TRUE
2025-03-16,Added a README,
2025-03-15,Connected Nginx and deployed the app in production mode!,TRUE
2025-03-14,Connected the database,
2025-03-13,New content: albums,
2025-03-11,Added films and games I want to watch and play,
2025-03-10,New content: albums,
2025-03-08,Updated homepage with random image of me,
2025-03-08,Added smash page and DJ World Peace page and links page,TRUE
2025-03-07,Added secret KK Slider page,
2025-03-06,New content: albums,
2025-03-05,New content: albums,
2025-03-04,Added the gallery and updated homepage,TRUE
2025-03-02,New content: albums,
2025-02-27,Adjusted CSS in albums and nintendo section,
2025-02-26,New content: albums,
2025-02-20,New content: albums,
2025-02-19,Sorted out the albums page,
2025-02-18,New content: soundtracks,
2025-02-17,Set up the mp3 downloads section,
2025-02-16,Added the music section!,TRUE
2025-02-13,New content: films,
2025-02-10,Added films page and homepage!,TRUE
2024-12-19,Added a favicon,
2024-12-16,Added BREXIT SUMMIT page,
2024-12-15,Updated homepage,
2024-12-13,New content: games,
2024-12-09,Added game reviews page,
2024-11-30,Launched the website!,TRUE
